"date","count"
2020-06-10T21:41:10-04:00,71
2020-06-10T21:56:10-04:00,72
2020-06-10T22:11:10-04:00,81
2020-06-10T22:26:10-04:00,70
2020-06-10T22:41:10-04:00,63
2020-06-10T22:56:10-04:00,65
2020-06-10T23:11:10-04:00,51
2020-06-10T23:26:10-04:00,49
2020-06-10T23:41:10-04:00,57
2020-06-10T23:56:10-04:00,54
2020-06-11T00:11:10-04:00,41
2020-06-11T00:26:10-04:00,25
2020-06-11T00:41:10-04:00,42
2020-06-11T00:56:10-04:00,33
2020-06-11T01:11:10-04:00,40
2020-06-11T01:26:10-04:00,33
2020-06-11T01:41:10-04:00,33
2020-06-11T01:56:10-04:00,24
2020-06-11T02:11:10-04:00,27
2020-06-11T02:26:10-04:00,24
2020-06-11T02:41:10-04:00,15
2020-06-11T02:56:10-04:00,5
2020-06-11T03:11:10-04:00,8
2020-06-11T03:26:10-04:00,6
2020-06-11T03:41:10-04:00,7
2020-06-11T03:56:10-04:00,3
2020-06-11T04:11:10-04:00,2
2020-06-11T04:26:10-04:00,4
2020-06-11T04:41:10-04:00,6
2020-06-11T04:56:10-04:00,6
2020-06-11T05:11:10-04:00,7
2020-06-11T05:26:10-04:00,2
2020-06-11T05:41:10-04:00,4
2020-06-11T05:56:10-04:00,11
2020-06-11T06:11:10-04:00,9
2020-06-11T06:26:10-04:00,3
2020-06-11T06:41:10-04:00,1
2020-06-11T06:56:10-04:00,4
2020-06-11T07:11:10-04:00,4
2020-06-11T07:26:10-04:00,5
2020-06-11T07:41:10-04:00,8
2020-06-11T07:56:10-04:00,8
2020-06-11T08:11:10-04:00,3
2020-06-11T08:26:10-04:00,8
2020-06-11T08:41:10-04:00,11
2020-06-09T22:56:10-04:00,13
2020-06-09T23:11:10-04:00,13
2020-06-09T23:26:10-04:00,20
2020-06-09T23:41:10-04:00,12
2020-06-09T23:56:10-04:00,17
2020-06-10T00:11:10-04:00,10
2020-06-10T00:26:10-04:00,17
2020-06-10T00:41:10-04:00,10
2020-06-10T00:56:10-04:00,19
2020-06-10T01:11:10-04:00,10
2020-06-10T01:26:10-04:00,9
2020-06-10T01:41:10-04:00,5
2020-06-10T01:56:10-04:00,21
2020-06-10T02:11:10-04:00,12
2020-06-10T02:26:10-04:00,33
2020-06-10T02:41:10-04:00,12
2020-06-10T02:56:10-04:00,1
2020-06-10T03:11:10-04:00,7
2020-06-10T03:26:10-04:00,10
2020-06-10T03:41:10-04:00,5
2020-06-10T03:56:10-04:00,3
2020-06-10T04:11:10-04:00,10
2020-06-10T04:26:10-04:00,2
2020-06-10T04:41:10-04:00,3
2020-06-10T04:56:10-04:00,6
2020-06-10T05:11:10-04:00,2
2020-06-10T05:26:10-04:00,5
2020-06-10T05:41:10-04:00,6
2020-06-10T05:56:10-04:00,4
2020-06-10T06:11:10-04:00,6
2020-06-10T06:26:10-04:00,8
2020-06-10T06:41:10-04:00,6
2020-06-10T06:56:10-04:00,10
2020-06-10T07:11:10-04:00,8
2020-06-10T07:26:10-04:00,7
2020-06-10T07:41:10-04:00,8
2020-06-10T07:56:10-04:00,17
2020-06-10T08:11:10-04:00,19
2020-06-10T08:26:10-04:00,20
2020-06-10T08:41:10-04:00,13
2020-06-10T08:56:10-04:00,11
2020-06-10T09:11:10-04:00,21
2020-06-10T09:26:10-04:00,28
2020-06-10T09:41:10-04:00,37
2020-06-10T09:56:10-04:00,34
2020-06-10T10:11:10-04:00,44
2020-06-10T10:26:10-04:00,43
2020-06-10T10:41:10-04:00,35
2020-06-10T10:56:10-04:00,57
2020-06-10T11:11:10-04:00,49
2020-06-10T11:26:10-04:00,62
2020-06-10T11:41:10-04:00,61
2020-06-10T11:56:10-04:00,53
2020-06-10T12:11:10-04:00,66
2020-06-10T12:26:10-04:00,70
2020-06-10T12:41:10-04:00,75
2020-06-10T12:56:10-04:00,62
2020-06-10T13:11:10-04:00,69
2020-06-10T13:26:10-04:00,52
2020-06-10T13:41:10-04:00,50
2020-06-10T13:56:10-04:00,65
2020-06-10T14:11:10-04:00,66
2020-06-10T14:26:10-04:00,75
2020-06-10T14:41:10-04:00,75
2020-06-10T14:56:10-04:00,59
2020-06-10T15:11:10-04:00,67
2020-06-10T15:26:10-04:00,72
2020-06-10T15:41:10-04:00,79
2020-06-10T15:56:10-04:00,70
2020-06-10T16:11:10-04:00,55
2020-06-10T16:26:10-04:00,52
2020-06-10T16:41:10-04:00,68
2020-06-10T16:56:10-04:00,68
2020-06-10T17:11:10-04:00,57
2020-06-10T17:26:10-04:00,76
2020-06-10T17:41:10-04:00,79
2020-06-10T17:56:10-04:00,58
2020-06-10T18:11:10-04:00,41
2020-06-10T18:26:10-04:00,61
2020-06-10T18:41:10-04:00,64
2020-06-10T18:56:10-04:00,55
2020-06-10T19:11:10-04:00,68
2020-06-10T19:26:10-04:00,65
2020-06-10T19:41:10-04:00,56
2020-06-10T19:56:10-04:00,78
2020-06-10T20:11:10-04:00,63
2020-06-10T20:26:10-04:00,60
2020-06-10T20:41:10-04:00,52
2020-06-10T20:56:10-04:00,69
2020-06-10T21:11:10-04:00,76
2020-06-10T21:26:10-04:00,70
2020-06-10T21:41:10-04:00,78
2020-06-10T21:56:10-04:00,74
2020-06-10T22:11:10-04:00,64
2020-06-10T22:26:10-04:00,60
2020-06-10T22:41:10-04:00,49
2020-06-08T13:36:10-04:00,18
2020-06-08T13:51:10-04:00,10
2020-06-08T14:06:10-04:00,14
2020-06-08T14:21:10-04:00,12
2020-06-08T14:36:10-04:00,15
2020-06-08T14:51:10-04:00,9
2020-06-08T15:06:10-04:00,14
2020-06-08T15:21:10-04:00,8
2020-06-08T15:36:10-04:00,10
2020-06-08T15:51:10-04:00,9
2020-06-08T16:06:10-04:00,13
2020-06-08T16:21:10-04:00,12
2020-06-08T16:36:10-04:00,11
2020-06-08T16:51:10-04:00,13
2020-06-08T17:06:10-04:00,16
2020-06-08T17:21:10-04:00,16
2020-06-08T17:36:10-04:00,19
2020-06-08T17:51:10-04:00,14
2020-06-08T18:06:10-04:00,22
2020-06-08T18:21:10-04:00,18
2020-06-08T18:36:10-04:00,13
